Transaction_ID,Date,Category,Amount,Payment_Method,Customer_ID
TXN-0084,2025-01-28,Software,92.83,crypto,Customer-670
TXN-0085,2025-01-01,Food,25.96,debit_card,Customer-750
TXN-0086,2025-01-02,Services,220.69,cash,Customer-916
TXN-0087,2025-01-03,Services,348.96,credit_card,Customer-769
TXN-0088,2025-01-04,Services,289.29,crypto,Customer-465
TXN-0089,2025-01-05,Clothing,9883.74,cash,Customer-138
TXN-0090,2025-01-06,Clothing,422.39,debit_card,Customer-175
TXN-0091,2025-01-07,Services,326.9,credit_card,Customer-660
TXN-0092,2025-01-08,Electronics,260.05,credit_card,Customer-352
TXN-0093,2025-01-09,Services,326.4,wire_transfer,Customer-389
TXN-0094,2025-01-10,Food,212.37,debit_card,Customer-627
TXN-0095,2025-01-11,Electronics,275.17,wire_transfer,Customer-524
TXN-0096,2025-01-12,Clothing,140.87,crypto,Customer-778
TXN-0097,2025-01-13,Services,157.65,cash,Customer-608
TXN-0098,2025-01-14,Electronics,310.94,wire_transfer,Customer-242
TXN-0099,2025-01-15,Services,328.03,credit_card,Customer-982
TXN-0100,2025-01-16,Food,328.99,crypto,Customer-729
TXN-0101,2025-01-17,Electronics,168.16,cash,Customer-318
TXN-0102,2025-01-18,Services,239.2,credit_card,Customer-208
TXN-0103,2025-01-19,Software,176.01,credit_card,Customer-184
TXN-0104,2025-01-20,Clothing,201.18,cash,Customer-284
TXN-0105,2025-01-21,Services,270.3,debit_card,Customer-983
TXN-0106,2025-01-22,Electronics,211.41,debit_card,Customer-907
TXN-0107,2025-01-23,Electronics,305.11,wire_transfer,Customer-568
TXN-0108,2025-01-24,Services,261.34,debit_card,Customer-777
TXN-0109,2025-01-25,Services,296.23,credit_card,Customer-812
TXN-0110,2025-01-26,Electronics,267.09,debit_card,Customer-784
TXN-0111,2025-01-27,Electronics,80.23,wire_transfer,Customer-311
TXN-0112,2025-01-28,Clothing,334.74,debit_card,Customer-903
TXN-0113,2025-01-01,Services,229.53,wire_transfer,Customer-109
TXN-0114,2025-01-02,Food,211.87,wire_transfer,Customer-785
TXN-0115,2025-01-03,Services,292.18,wire_transfer,Customer-159
TXN-0116,2025-01-04,Software,71.31,credit_card,Customer-212
TXN-0117,2025-01-05,Clothing,262.44,wire_transfer,Customer-100
TXN-0118,2025-01-06,Software,377.06,crypto,Customer-369
TXN-0119,2025-01-07,Services,80.58,crypto,Customer-966
TXN-0120,2025-01-08,Services,353.6,credit_card,Customer-717
TXN-0121,2025-01-09,Food,175.45,wire_transfer,Customer-919
TXN-0122,2025-01-10,Food,426.92,crypto,Customer-877
TXN-0123,2025-01-11,Electronics,389.8,wire_transfer,Customer-724
TXN-0124,2025-01-12,Food,326.73,cash,Customer-980
TXN-0125,2025-01-13,Electronics,369.01,crypto,Customer-508
TXN-0126,2025-01-14,Electronics,440.47,debit_card,Customer-310
TXN-0127,2025-01-15,Food,264.3,cash,Customer-666
TXN-0128,2025-01-16,Software,169.64,debit_card,Customer-496
TXN-0129,2025-01-17,Electronics,227.33,wire_transfer,Customer-740
TXN-0130,2025-01-18,Clothing,81.49,debit_card,Customer-474
TXN-0131,2025-01-19,Clothing,353.67,credit_card,Customer-203
TXN-0132,2025-01-20,Food,369.67,credit_card,Customer-175
TXN-0133,2025-01-21,Food,92.08,credit_card,Customer-358
TXN-0134,2025-01-22,Services,201.64,credit_card,Customer-735
TXN-0135,2025-01-23,Food,302.62,crypto,Customer-782
TXN-0136,2025-01-24,Software,57.27,credit_card,Customer-437
TXN-0137,2025-01-25,Food,182.03,wire_transfer,Customer-195
TXN-0138,2025-01-26,Electronics,277.15,crypto,Customer-203
TXN-0139,2025-01-27,Services,335.69,cash,Customer-467
TXN-0140,2025-01-28,Clothing,205.69,debit_card,Customer-496
TXN-0141,2025-01-01,Electronics,305.79,cash,Customer-927
TXN-0142,2025-01-02,Services,465.34,debit_card,Customer-922
TXN-0143,2025-01-03,Electronics,148.09,debit_card,Customer-896
TXN-0144,2025-01-04,Services,226.46,wire_transfer,Customer-166
TXN-0145,2025-01-05,Electronics,275.63,credit_card,Customer-682
TXN-0146,2025-01-06,Electronics,153.3,crypto,Customer-831
TXN-0147,2025-01-07,Clothing,255.9,wire_transfer,Customer-777
TXN-0148,2025-01-08,Food,366.66,credit_card,Customer-781
TXN-0149,2025-01-09,Clothing,194.58,wire_transfer,Customer-537
TXN-0150,2025-01-10,Clothing,498.8,cash,Customer-146
TXN-0151,2025-01-11,Services,369.69,credit_card,Customer-257
TXN-0152,2025-01-12,Clothing,116.11,credit_card,Customer-663
TXN-0153,2025-01-13,Clothing,26.03,credit_card,Customer-835
TXN-0154,2025-01-14,Services,417.75,crypto,Customer-473
TXN-0155,2025-01-15,Electronics,274.98,debit_card,Customer-647
TXN-0156,2025-01-16,Food,6040.96,credit_card,Customer-136
TXN-0157,2025-01-17,Clothing,378.8,crypto,Customer-957
TXN-0158,2025-01-18,Services,341.87,cash,Customer-730
TXN-0159,2025-01-19,Services,174.56,wire_transfer,Customer-514
TXN-0160,2025-01-20,Services,127.91,credit_card,Customer-189
TXN-0161,2025-01-21,Electronics,386.31,debit_card,Customer-239
TXN-0162,2025-01-22,Software,397.28,wire_transfer,Customer-473
TXN-0163,2025-01-23,Software,227.6,cash,Customer-964
TXN-0164,2025-01-24,Clothing,171.45,crypto,Customer-641
TXN-0165,2025-01-25,Software,477.29,credit_card,Customer-694
TXN-0166,2025-01-26,Software,237.6,debit_card,Customer-632
TXN-0167,2025-01-27,Software,426.76,crypto,Customer-352
TXN-0168,2025-01-28,Software,539.34,cash,Customer-130
TXN-0169,2025-01-01,Food,289.89,wire_transfer,Customer-763
TXN-0170,2025-01-02,Food,145.44,crypto,Customer-881
TXN-0171,2025-01-03,Software,96.84,crypto,Customer-303
TXN-0172,2025-01-04,Clothing,32.79,credit_card,Customer-483
TXN-0173,2025-01-05,Electronics,397.73,crypto,Customer-872
TXN-0174,2025-01-06,Services,352.9,debit_card,Customer-207
TXN-0175,2025-01-07,Software,37.05,credit_card,Customer-239
TXN-0176,2025-01-08,Software,347.73,credit_card,Customer-881
TXN-0177,2025-01-09,Services,257.7,crypto,Customer-914
TXN-0178,2025-01-10,Software,44.38,cash,Customer-443
TXN-0179,2025-01-11,Food,179.75,crypto,Customer-881
TXN-0180,2025-01-12,Food,173.64,wire_transfer,Customer-792
TXN-0181,2025-01-13,Services,264.92,debit_card,Customer-960
TXN-0182,2025-01-14,Electronics,203.12,crypto,Customer-828
TXN-0183,2025-01-15,Clothing,300.23,wire_transfer,Customer-926
TXN-0184,2025-01-16,Clothing,227.62,cash,Customer-862
TXN-0185,2025-01-17,Clothing,337.29,crypto,Customer-769
TXN-0186,2025-01-18,Clothing,168.82,cash,Customer-612
TXN-0187,2025-01-19,Electronics,301.82,cash,Customer-792
TXN-0188,2025-01-20,Software,327.05,cash,Customer-330
TXN-0189,2025-01-21,Electronics,190.77,cash,Customer-505
TXN-0190,2025-01-22,Food,44.5,credit_card,Customer-753
TXN-0191,2025-01-23,Services,158.74,cash,Customer-554
TXN-0192,2025-01-24,Services,14.47,credit_card,Customer-830
TXN-0193,2025-01-25,Food,218.45,wire_transfer,Customer-817
TXN-0194,2025-01-26,Software,316.7,crypto,Customer-587
TXN-0195,2025-01-27,Software,236.96,wire_transfer,Customer-229
TXN-0196,2025-01-28,Services,246.85,debit_card,Customer-935
TXN-0197,2025-01-01,Services,239.15,cash,Customer-764
TXN-0198,2025-01-02,Clothing,236.99,wire_transfer,Customer-465
TXN-0199,2025-01-03,Software,207.72,wire_transfer,Customer-914
TXN-0200,2025-01-04,Electronics,168.12,credit_card,Customer-671
