timestamp,sensor_id,temp_c,humidity_pct,pressure_hpa,vibration_hz,noise_db
2025-01-02T10:00:00Z,S-005,25.6,49.9,1004.4,64.5,46.8
2025-01-02T11:00:00Z,S-006,20.2,63.7,1016.0,45.1,49.1
2025-01-02T12:00:00Z,S-007,21.4,40.2,1015.3,59.3,39.0
2025-01-02T13:00:00Z,S-008,23.6,59.9,1010.1,66.0,53.1
2025-01-02T14:00:00Z,S-009,19.9,58.8,1013.0,94.0,30.1
2025-01-02T15:00:00Z,S-010,24.1,51.9,1012.5,88.5,44.9
2025-01-02T16:00:00Z,S-001,28.7,50.6,1014.8,52.6,39.5
2025-01-02T17:00:00Z,S-002,22.2,52.2,1014.0,28.4,61.0
2025-01-02T18:00:00Z,S-003,21.5,72.4,1008.0,64.4,70.3
2025-01-02T19:00:00Z,S-004,19.4,40.0,1010.3,67.1,50.5
2025-01-02T20:00:00Z,S-005,25.9,52.4,1005.0,53.5,54.9
2025-01-02T21:00:00Z,S-006,23.4,35.4,1012.8,81.0,62.0
2025-01-02T22:00:00Z,S-007,23.7,58.1,1006.8,47.4,45.4
2025-01-02T23:00:00Z,S-008,82.7,60.8,1010.6,42.7,38.8
2025-01-03T00:00:00Z,S-009,23.9,31.9,1011.3,66.7,57.2
2025-01-03T01:00:00Z,S-010,22.2,65.0,1011.0,48.8,39.6
2025-01-03T02:00:00Z,S-001,26.6,64.9,1015.4,110.0,44.7
2025-01-03T03:00:00Z,S-002,23.9,58.1,1011.9,94.7,57.1
2025-01-03T04:00:00Z,S-003,17.8,51.0,1015.1,71.7,34.2
2025-01-03T05:00:00Z,S-004,15.2,35.9,1012.6,58.5,47.8
2025-01-03T06:00:00Z,S-005,19.7,42.8,1002.9,64.9,48.0
2025-01-03T07:00:00Z,S-006,25.0,62.9,1012.0,80.2,43.9
2025-01-03T08:00:00Z,S-007,20.0,49.8,1010.1,27.5,46.3
2025-01-03T09:00:00Z,S-008,22.7,51.4,1009.4,65.6,58.7
2025-01-03T10:00:00Z,S-009,22.1,49.9,1010.0,59.0,34.9
2025-01-03T11:00:00Z,S-010,21.6,55.6,1022.2,74.2,53.3
2025-01-03T12:00:00Z,S-001,19.9,61.7,1007.3,64.7,48.3
2025-01-03T13:00:00Z,S-002,19.7,75.0,1015.8,31.5,49.4
2025-01-03T14:00:00Z,S-003,20.8,55.0,1015.3,65.9,28.7
2025-01-03T15:00:00Z,S-004,18.5,62.7,1019.5,88.5,59.4
2025-01-03T16:00:00Z,S-005,15.8,62.7,1003.4,84.2,47.0
2025-01-03T17:00:00Z,S-006,18.6,75.1,1016.2,31.6,47.3
2025-01-03T18:00:00Z,S-007,19.8,56.1,1010.7,80.6,33.6
2025-01-03T19:00:00Z,S-008,23.0,73.1,1008.9,63.2,46.6
2025-01-03T20:00:00Z,S-009,19.9,61.5,1013.5,45.8,59.1
2025-01-03T21:00:00Z,S-010,24.4,53.3,1009.8,48.2,54.8
2025-01-03T22:00:00Z,S-001,21.6,59.6,1012.1,69.2,44.1
2025-01-03T23:00:00Z,S-002,24.3,53.2,1017.1,70.1,44.1
2025-01-04T00:00:00Z,S-003,19.4,45.6,1009.3,45.2,51.9
2025-01-04T01:00:00Z,S-004,21.9,70.7,1024.4,60.4,32.6
2025-01-04T02:00:00Z,S-005,20.9,54.2,1005.6,56.2,47.3
2025-01-04T03:00:00Z,S-006,20.6,47.3,1009.2,86.8,43.7
2025-01-04T04:00:00Z,S-007,19.5,51.3,1017.8,49.7,48.9
2025-01-04T05:00:00Z,S-008,24.2,62.5,1020.0,51.7,54.1
2025-01-04T06:00:00Z,S-009,19.6,51.0,1019.0,72.3,45.0
2025-01-04T07:00:00Z,S-010,18.4,60.6,1009.8,46.1,39.8
2025-01-04T08:00:00Z,S-001,22.7,33.8,1014.8,62.6,40.3
2025-01-04T09:00:00Z,S-002,25.1,61.1,1010.0,49.9,50.6
2025-01-04T10:00:00Z,S-003,17.5,51.7,1009.8,61.0,46.7
2025-01-04T11:00:00Z,S-004,22.1,66.3,1014.1,55.3,35.3
2025-01-04T12:00:00Z,S-005,24.2,60.3,1020.3,48.8,45.2
2025-01-04T13:00:00Z,S-006,21.8,54.1,1013.1,34.3,51.6
2025-01-04T14:00:00Z,S-007,24.0,66.3,1024.2,55.2,44.7
2025-01-04T15:00:00Z,S-008,22.0,74.4,1004.3,67.3,33.2
2025-01-04T16:00:00Z,S-009,14.3,34.8,1006.1,76.0,38.1
2025-01-04T17:00:00Z,S-010,21.3,43.4,1016.1,43.5,55.5
2025-01-04T18:00:00Z,S-001,19.0,47.4,1013.6,60.4,56.4
2025-01-04T19:00:00Z,S-002,22.4,42.9,1010.2,51.4,50.8
2025-01-04T20:00:00Z,S-003,23.2,53.8,1017.3,52.1,43.9
2025-01-04T21:00:00Z,S-004,22.5,70.3,1012.5,54.7,36.6
2025-01-04T22:00:00Z,S-005,24.1,49.1,1014.7,31.5,53.3
2025-01-04T23:00:00Z,S-006,18.0,47.2,1018.3,40.0,44.4
2025-01-05T00:00:00Z,S-007,22.2,45.0,1019.7,82.5,29.2
2025-01-05T01:00:00Z,S-008,17.7,63.1,1006.5,54.2,46.0
2025-01-05T02:00:00Z,S-009,24.1,52.8,1013.5,48.3,55.3
2025-01-05T03:00:00Z,S-010,20.5,58.4,1010.4,61.6,43.7
2025-01-05T04:00:00Z,S-001,21.5,44.9,1017.0,81.2,46.9
2025-01-05T05:00:00Z,S-002,24.2,63.4,1017.6,64.6,46.7
2025-01-05T06:00:00Z,S-003,24.6,55.7,1008.1,60.4,29.9
2025-01-05T07:00:00Z,S-004,22.0,59.1,1019.2,62.3,52.4
2025-01-05T08:00:00Z,S-005,22.0,44.8,1005.9,45.5,34.1
2025-01-05T09:00:00Z,S-006,23.9,52.9,1015.9,61.1,53.4
2025-01-05T10:00:00Z,S-007,25.2,48.5,1011.6,52.0,32.0
2025-01-05T11:00:00Z,S-008,24.0,66.9,1013.0,52.6,53.7
2025-01-05T12:00:00Z,S-009,15.0,56.8,1013.7,51.4,56.1
2025-01-05T13:00:00Z,S-010,24.9,52.4,1012.6,54.2,40.9
2025-01-05T14:00:00Z,S-001,18.1,68.8,1018.1,72.0,36.2
2025-01-05T15:00:00Z,S-002,28.2,74.8,1013.9,46.4,38.1
2025-01-05T16:00:00Z,S-003,23.3,45.9,1012.8,76.3,32.9
2025-01-05T17:00:00Z,S-004,28.0,70.7,1006.8,38.8,42.7
2025-01-05T18:00:00Z,S-005,18.9,52.4,1000.1,56.6,59.4
2025-01-05T19:00:00Z,S-006,18.7,52.3,1005.6,69.6,43.2
2025-01-05T20:00:00Z,S-007,27.8,57.1,1011.1,68.3,41.0
2025-01-05T21:00:00Z,S-008,18.0,58.0,1012.1,62.5,48.0
2025-01-05T22:00:00Z,S-009,20.5,59.2,1021.7,43.4,58.9
2025-01-05T23:00:00Z,S-010,21.3,47.3,1025.1,62.3,56.0
2025-01-06T00:00:00Z,S-001,24.5,38.2,1013.6,52.1,34.3
2025-01-06T01:00:00Z,S-002,16.7,56.0,1016.0,65.9,42.6
2025-01-06T02:00:00Z,S-003,19.6,45.1,1010.2,44.5,43.4
2025-01-06T03:00:00Z,S-004,86.0,46.0,1011.8,48.6,45.0
2025-01-06T04:00:00Z,S-005,22.5,59.7,1004.7,54.3,47.2
2025-01-06T05:00:00Z,S-006,23.9,39.0,1013.8,78.1,43.6
2025-01-06T06:00:00Z,S-007,21.7,59.5,1014.2,70.1,45.6
2025-01-06T07:00:00Z,S-008,22.5,47.2,1012.1,78.8,43.4
2025-01-06T08:00:00Z,S-009,21.5,50.1,1016.9,47.2,52.3
2025-01-06T09:00:00Z,S-010,19.2,44.4,1014.0,62.0,47.4
2025-01-06T10:00:00Z,S-001,25.2,50.9,1015.2,46.4,55.1
2025-01-06T11:00:00Z,S-002,23.9,60.4,1013.9,48.2,42.4
2025-01-06T12:00:00Z,S-003,23.5,54.8,1013.6,39.6,46.4
2025-01-06T13:00:00Z,S-004,19.9,44.2,1012.2,32.2,50.6
2025-01-06T14:00:00Z,S-005,24.6,54.5,1008.0,45.8,43.8
2025-01-06T15:00:00Z,S-006,14.7,56.8,1016.3,55.3,41.0
2025-01-06T16:00:00Z,S-007,22.5,58.5,1018.5,60.3,39.5
2025-01-06T17:00:00Z,S-008,20.6,56.8,1020.8,55.2,36.6
2025-01-06T18:00:00Z,S-009,19.4,34.0,1014.6,39.6,35.1
2025-01-06T19:00:00Z,S-010,16.1,43.8,1015.8,40.3,31.0
2025-01-06T20:00:00Z,S-001,22.5,51.6,1015.2,71.1,44.9
2025-01-06T21:00:00Z,S-002,18.1,53.8,1015.5,51.3,33.5
2025-01-06T22:00:00Z,S-003,25.3,50.8,1011.0,60.2,53.2
2025-01-06T23:00:00Z,S-004,22.8,51.7,1016.4,92.2,56.1
2025-01-07T00:00:00Z,S-005,24.0,43.8,1031.8,42.0,42.0
2025-01-07T01:00:00Z,S-006,19.9,71.3,1015.1,38.6,47.1
2025-01-07T02:00:00Z,S-007,23.6,51.8,1006.9,49.1,41.5
2025-01-07T03:00:00Z,S-008,22.1,49.8,1016.7,45.8,31.1
2025-01-07T04:00:00Z,S-009,19.8,68.5,1010.1,95.1,48.9
2025-01-07T05:00:00Z,S-010,18.5,46.7,1014.2,42.3,64.0
2025-01-07T06:00:00Z,S-001,19.0,61.8,1020.3,58.4,37.0
2025-01-07T07:00:00Z,S-002,21.2,58.6,1017.4,60.9,33.8
2025-01-07T08:00:00Z,S-003,22.1,48.3,1002.1,49.5,33.5
2025-01-07T09:00:00Z,S-004,23.8,74.4,1022.3,51.4,41.3
2025-01-07T10:00:00Z,S-005,24.1,65.6,1010.9,57.9,62.7
2025-01-07T11:00:00Z,S-006,21.7,50.1,1013.6,68.7,36.8
2025-01-07T12:00:00Z,S-007,21.3,43.3,1011.6,88.2,50.9
2025-01-07T13:00:00Z,S-008,21.7,45.7,1011.4,75.8,40.5
2025-01-07T14:00:00Z,S-009,26.4,41.3,1011.5,86.1,28.9
2025-01-07T15:00:00Z,S-010,25.6,36.5,1012.5,57.4,51.6
2025-01-07T16:00:00Z,S-001,12.5,35.8,1010.2,60.6,37.9
2025-01-07T17:00:00Z,S-002,21.3,43.1,1011.0,47.3,47.0
2025-01-07T18:00:00Z,S-003,23.7,69.3,1009.7,55.2,45.4
2025-01-07T19:00:00Z,S-004,21.1,54.5,1005.2,65.6,37.7
2025-01-07T20:00:00Z,S-005,19.1,39.1,1018.8,57.9,54.2
2025-01-07T21:00:00Z,S-006,22.8,38.0,1007.6,71.4,38.9
2025-01-07T22:00:00Z,S-007,18.7,53.2,1012.1,44.8,42.4
2025-01-07T23:00:00Z,S-008,20.6,29.1,1015.5,47.8,55.4
2025-01-08T00:00:00Z,S-009,18.5,39.2,1018.9,36.2,39.9
2025-01-08T01:00:00Z,S-010,23.8,51.7,1004.7,62.8,43.4
2025-01-08T02:00:00Z,S-001,25.9,60.9,1028.2,35.3,44.8
2025-01-08T03:00:00Z,S-002,18.8,66.5,1017.1,71.3,38.8
2025-01-08T04:00:00Z,S-003,19.8,34.7,1021.5,67.6,42.9
2025-01-08T05:00:00Z,S-004,24.8,62.5,1017.9,35.6,39.3
2025-01-08T06:00:00Z,S-005,22.6,58.6,1017.8,44.9,46.0
2025-01-08T07:00:00Z,S-006,28.6,61.9,1017.4,59.7,51.1
2025-01-08T08:00:00Z,S-007,27.4,56.1,1019.1,46.9,49.7
2025-01-08T09:00:00Z,S-008,24.7,47.5,1018.5,49.9,38.6
2025-01-08T10:00:00Z,S-009,85.2,74.3,1014.5,74.0,39.1
2025-01-08T11:00:00Z,S-010,18.5,49.3,1017.2,59.4,56.6
2025-01-08T12:00:00Z,S-001,21.4,53.0,1019.4,50.3,32.8
2025-01-08T13:00:00Z,S-002,25.9,59.1,1002.2,60.7,41.8
2025-01-08T14:00:00Z,S-003,27.2,47.7,1010.1,46.3,36.6
2025-01-08T15:00:00Z,S-004,19.9,40.6,1007.8,35.9,33.0
2025-01-08T16:00:00Z,S-005,17.3,49.8,1009.6,41.6,48.8
2025-01-08T17:00:00Z,S-006,21.9,50.7,1010.7,83.9,46.9
2025-01-08T18:00:00Z,S-007,23.4,29.1,1009.7,27.4,41.6
2025-01-08T19:00:00Z,S-008,23.1,48.3,1015.6,44.7,49.6
2025-01-08T20:00:00Z,S-009,17.3,52.4,1015.1,68.0,44.0
2025-01-08T21:00:00Z,S-010,27.8,50.9,1010.7,18.6,59.2
2025-01-08T22:00:00Z,S-001,20.9,43.2,1019.6,78.5,45.9
2025-01-08T23:00:00Z,S-002,17.7,59.2,1009.9,42.4,53.3
2025-01-09T00:00:00Z,S-003,15.6,60.7,1015.3,90.8,47.6
2025-01-09T01:00:00Z,S-004,15.8,46.6,1013.3,65.3,52.8
2025-01-09T02:00:00Z,S-005,16.1,51.7,1017.8,83.2,59.9
2025-01-09T03:00:00Z,S-006,20.8,66.0,1021.6,78.0,50.8
2025-01-09T04:00:00Z,S-007,24.5,47.1,1005.8,74.7,42.2
2025-01-09T05:00:00Z,S-008,21.9,49.2,1011.0,63.5,36.8
2025-01-09T06:00:00Z,S-009,22.2,57.5,1012.6,48.8,51.3
2025-01-09T07:00:00Z,S-010,27.6,49.0,1019.2,73.3,23.8
